Feature,Importance_Mean,Importance_Std
OverallQual,34021.39036013619,1078.6155288153534
GrLivArea,25895.79308688553,692.578193929387
GarageCars,7199.356021382646,379.8800640544307
BsmtFinSF1,6867.999348447803,328.5051349790172
TotalBsmtSF,6614.038572672409,419.55275447053606
Neighborhood,5890.1813030151325,887.2660576649574
LotArea,4382.640610891478,255.6922472100281
1stFlrSF,3769.76352464605,194.20409159428806
YearBuilt,3467.9457277136303,186.5402734347652
YearRemodAdd,2789.4918263631616,254.89124077624953
OverallCond,2561.9554250469173,184.0378592372693
OpenPorchSF,2345.988723067753,214.26881200665838
KitchenQual,2050.276363260338,281.4391612902492
GarageArea,1796.633544326035,102.0311574542523
GarageYrBlt,1262.9861523440034,108.14105691234681
Fireplaces,1078.165816119244,98.22478933729263
SaleCondition,1040.069630622798,87.32003524503924
GarageFinish,916.6834636509878,135.74484743212597
BsmtUnfSF,869.1458406132958,113.71651464515875
LotFrontage,783.8312652981821,71.79261080679362
BsmtExposure,753.9724580166728,113.40855708895647
ScreenPorch,720.1275291615676,97.34151832000087
Functional,677.3177339779385,144.54112899914716
BsmtQual,656.6577934714488,56.809947653570354
MoSold,634.8956257454814,130.9762074887144
MasVnrArea,622.6599470976975,83.76796324600375
2ndFlrSF,612.4873397236559,46.53340284119975
TotRmsAbvGrd,592.2200988727828,87.23951744618415
WoodDeckSF,556.7801746003994,57.51541816898222
FullBath,483.3229276205703,64.90728711273027
LandContour,482.4332328435673,101.96014387355002
GarageType,465.7980843438174,69.81281685992424
BedroomAbvGr,457.8510682896272,116.83261260440457
LotShape,454.60584910455185,58.49543862057784
BsmtFullBath,448.3501134702095,45.8743371028398
BsmtFinType1,335.3090278824312,40.47143482978726
ExterQual,329.6725171860548,55.43959899795442
Condition1,329.146244917455,151.3011780527844
CentralAir,328.1753219171279,45.1309448389687
Exterior1st,319.0508932523444,83.72317016414277
MSZoning,263.6059726211912,44.69307487669274
HeatingQC,241.57053509140067,48.120439212839806
YrSold,207.95809774326275,82.14104490943636
LotConfig,204.07102148410226,33.43536092260334
LandSlope,152.67476851718027,28.733946498772298
SaleType,137.89344683649853,20.891286442465468
Exterior2nd,99.73275525297164,18.279473587115742
BsmtCond,98.22304956411517,31.15205326863186
FireplaceQu,94.4355232561308,27.017089948562322
EnclosedPorch,80.67571288857003,24.05578294839464
HouseStyle,78.06853885723322,14.463688592903797
KitchenAbvGr,73.35663483448062,14.667481703845848
ExterCond,69.57098677353139,20.286061797773947
Fence,54.845918601694876,15.22845576023092
BsmtFinSF2,52.50753238220405,15.5409466374266
MSSubClass,43.93103742525121,13.751788552713593
PavedDrive,39.62874358640468,12.410547920724252
RoofStyle,38.311432655027666,6.552146097533427
3SsnPorch,26.365033321083864,5.241077756473595
Foundation,24.802163889183976,11.129024429178445
BsmtFinType2,19.560406166930566,6.443738844525688
BsmtHalfBath,14.961641962427954,4.82320337515619
BldgType,9.894456616758605,5.457823094975569
Electrical,9.75458583630813,3.056252272431319
Heating,5.422785944856939,3.655200267758589
HalfBath,4.286491642975367,4.476020185805863
MiscVal,2.7199287525922653,3.2520076303470757
Street,0.0,0.0
MiscFeature,0.0,0.0
PoolArea,0.0,0.0
PoolQC,0.0,0.0
Condition2,0.0,0.0
Alley,0.0,0.0
Utilities,0.0,0.0
GarageCond,0.0,0.0
GarageQual,0.0,0.0
RoofMatl,0.0,0.0
MasVnrType,0.0,0.0
LowQualFinSF,0.0,0.0
Id,0.0,0.0
