y_true,y_pred,residual,abs_error,Neighborhood,GrLivArea,OverallQual,YearBuilt,TotalBsmtSF,GarageArea,LotArea
745000.0,460306.4890238098,284693.5109761902,284693.5109761902,NoRidge,4476,10,1996,2396,813,15623
160000.0,375733.1347211433,-215733.1347211433,215733.1347211433,Edwards,5642,10,2008,6110,1418,63887
184750.0,395650.159200004,-210900.159200004,210900.159200004,Edwards,4676,10,2007,3138,884,40094
582933.0,399585.9558189577,183347.0441810423,183347.0441810423,NridgHt,2822,9,2008,1734,1020,13891
147000.0,311622.40193072765,-164622.40193072765,164622.40193072765,Somerst,1795,8,2006,1795,895,9986
392000.0,228932.16550958884,163067.83449041116,163067.83449041116,StoneBr,1419,8,2007,1419,567,8089
375000.0,224548.25482574897,150451.74517425103,150451.74517425103,Timber,2036,7,1965,2136,513,215245
466500.0,334804.8570369359,131695.14296306408,131695.14296306408,NoRidge,2633,10,2001,2633,804,11400
235000.0,359168.7382830408,-124168.73828304082,124168.73828304082,NAmes,3112,8,1918,1360,795,25419
538000.0,425367.30831951706,112632.69168048294,112632.69168048294,StoneBr,3279,8,2003,1650,841,53504
625000.0,514693.81945755775,110306.18054244225,110306.18054244225,NoRidge,3627,10,1995,1930,807,35760
485000.0,374983.4913722196,110016.50862778042,110016.50862778042,NridgHt,3140,9,2008,1926,820,13518
383970.0,279063.83105883206,104906.16894116794,104906.16894116794,CollgCr,2696,7,2007,1264,792,9965
129000.0,229378.46639220367,-100378.46639220367,100378.46639220367,NAmes,2380,6,1965,1021,596,18450
315000.0,415356.30959273916,-100356.30959273916,100356.30959273916,NridgHt,1980,9,2004,1980,770,16737
274970.0,175983.19188440774,98986.80811559226,98986.80811559226,Edwards,2201,6,1966,697,432,19690
392500.0,296514.7036672887,95985.2963327113,95985.2963327113,Crawfor,1652,8,2008,1600,482,5587
82500.0,176253.3525112904,-93753.3525112904,93753.3525112904,NWAmes,1411,7,1977,1386,544,11900
424870.0,331665.83645533386,93204.16354466614,93204.16354466614,CollgCr,2828,8,2006,1466,1052,9965
394432.0,309496.94667767646,84935.05332232354,84935.05332232354,StoneBr,1856,9,2010,1856,834,11394
180000.0,262880.26999999257,-82880.26999999257,82880.26999999257,NAmes,2207,7,1970,1947,576,19900
256000.0,174646.60078127988,81353.39921872012,81353.39921872012,OldTown,2792,6,1920,1510,520,10440
259500.0,178959.26859301675,80540.73140698325,80540.73140698325,Crawfor,2320,6,1945,1028,180,7259
475000.0,394924.56556286936,80075.43443713064,80075.43443713064,OldTown,3608,10,1892,1107,840,22950
402000.0,323864.0416080641,78135.95839193591,78135.95839193591,NoRidge,2448,8,1994,1629,711,46589
197000.0,272036.4351166169,-75036.43511661689,75036.43511661689,SWISU,3082,7,1920,824,672,15863
440000.0,364993.15145304304,75006.84854695696,75006.84854695696,NridgHt,1976,8,2006,1976,908,14977
501837.0,428381.3625789651,73455.63742103492,73455.63742103492,StoneBr,2234,9,2008,2216,1166,17423
122000.0,193815.1343249192,-71815.1343249192,71815.1343249192,OldTown,2358,8,1872,684,0,5250
315000.0,244393.25978529028,70606.74021470972,70606.74021470972,Crawfor,2727,8,1932,853,440,10570
377500.0,307949.22257576237,69550.77742423763,69550.77742423763,Gilbert,1746,9,2006,1746,758,14892
320000.0,250588.85833082325,69411.14166917675,69411.14166917675,Gilbert,2462,7,2005,1392,576,19378
256000.0,188637.85607715684,67362.14392284316,67362.14392284316,ClearCr,1663,4,1954,1364,529,53227
159500.0,226595.13958656343,-67095.13958656343,67095.13958656343,OldTown,2554,7,1890,718,704,10800
423000.0,355973.95175747614,67026.04824252386,67026.04824252386,Somerst,2097,8,2005,2077,1134,20896
279500.0,213051.92698010153,66448.07301989847,66448.07301989847,CollgCr,1494,7,2006,1494,840,10652
372500.0,306078.60043293715,66421.39956706285,66421.39956706285,StoneBr,2046,8,2008,2046,834,11844
335000.0,269792.13934947475,65207.860650525254,65207.860650525254,Crawfor,1902,7,1959,1902,567,17500
319900.0,255220.42302005304,64679.576979946956,64679.576979946956,NridgHt,1752,9,2005,1752,576,7658
359100.0,294515.7716492839,64584.22835071612,64584.22835071612,Crawfor,3194,8,1934,965,380,12168
370878.0,306523.36756102636,64354.63243897364,64354.63243897364,Somerst,1766,9,2009,1766,478,9187
335000.0,273249.7899614493,61750.21003855072,61750.21003855072,Timber,2519,7,1989,1210,628,26178
239686.0,301041.96116816654,-61355.96116816654,61355.96116816654,Mitchel,2149,7,2003,1434,670,12822
62383.0,123725.12404817826,-61342.12404817826,61342.12404817826,Sawyer,864,5,1965,864,360,8281
259000.0,198753.83288009305,60246.16711990695,60246.16711990695,Gilbert,1530,7,2004,1530,630,14572
430000.0,369936.18347108434,60063.81652891566,60063.81652891566,NoRidge,3228,8,1992,3200,546,12692
164000.0,223009.02068706378,-59009.02068706378,59009.02068706378,Gilbert,1752,8,1988,559,492,12134
130500.0,189444.88174204563,-58944.88174204563,58944.88174204563,Sawyer,1479,6,1976,725,475,13517
188000.0,130120.33765453708,57879.662345462915,57879.662345462915,Mitchel,1728,5,1976,1728,560,9297
272000.0,214593.39953304012,57406.60046695988,57406.60046695988,NWAmes,2872,6,1977,1330,619,12227
